id	nil_name	title1	text1	link1	title2	text2	link2
1	Duomo	Piazza Sant Ambrogio	piazza di fronte ad una delle chiese più antiche di Milano, vicino all’università Cattolica, con una nuova stazione della M4 e strade da poco rinnovate	https://www.google.com/maps/search/?api=1&query=Piazza%20Sant%20Ambrogio%2C%20Milano	Panchine via Marconi - Piazza Diaz lato bar/ristorante	sedute vicino a piazza Duomo, portici con ristoranti e alla fermata del tram 15 per Rozzano	https://maps.app.goo.gl/cMndcfw3mvs82PP99
2	Brera	Pinacoteca di Brera	importante museo nel mezzo di un’area pedonalizzata tempo fa, molti turisti, ristoranti e bar	https://www.google.com/maps/search/?api=1&query=Pinacoteca%20di%20Brera%2C%20Milano	Corso Garibaldi	lunga via con intenso flusso pedonale  e larghi marciapiedi con negozi, bar, ristoranti	https://www.google.com/maps/search/?api=1&query=Corso%20Garibaldi%2C%20Milano
4	Guastalla	Giardini della Guastalla	parco centrale e non troppo grande, curato e dietro l’università Statale	https://www.google.com/maps/search/?api=1&query=Giardini%20della%20Guastalla%2C%20Milano	Arco di Porta Romana	trafficato incrocio stradale, con fermata del tram 9, la stazione della M3 e locali all’inizio di Corso Lodi e negozi all’inizio via Monte Nero	https://www.google.com/maps/search/?api=1&query=Arco%20di%20Porta%20Romana%2C%20Milano
5	Porta Vigentina - Porta Lodovica	Via San Calimero	stretta strada pedonalizzata, con alberi, panchine e chiesa, vicino a fermata Sforza-Policlinico della M4 e del tram	https://www.google.com/maps/search/?api=1&query=Via%20San%20Calimero%2C%20Milano	Parco Ravizza	largo parco con alberi, tavoli e panchine, giochi e campi da pallavolo e basket	https://www.google.com/maps/search/?api=1&query=Parco%20Ravizza%2C%20Milano
6	Porta Ticinese - Conca del Naviglio	Largo Mahler	piccolo incrocio, con fermata tranviaria, negozi e bar	https://www.google.com/maps/search/?api=1&query=Largo%20Mahler%2C%20Milano	Via Tabacchi	mercato comunale (solo sabato fino alle 15), con numerose bancarelle su un tratto piuttosto ampio di strada	https://www.google.com/maps/search/?api=1&query=via%20Tabacchi%20Milano
7	Magenta- San Vittore	Piazza sant'Agostino	mercato comunale, con numerose bancarelle su un tratto piuttosto ampio di strada	https://www.google.com/maps/search/?api=1&query=Piazza%20sant%27Agostino%20Milano	Piazza di Santa Maria delle Grazie	piazza pedonalizzata con panchine, di fronte alla chiesa del cenacolo Vinciano, vicina a fermate tranviarie su Corso Magenta, solitamente con consistente flusso pedonale	https://www.google.com/maps/search/?api=1&query=Piazza%20di%20Santa%20Maria%20delle%20Grazie%2C%20Milano
8	Parco Sempione	Castello Sforzesco - Piazza del Cannone	zona molto frequentata del parco Sempione, con una forte attrazione turistica, panchine e qualche piccolo bar all’interno del parco	https://www.google.com/maps/search/?api=1&query=Piazza%20del%20Cannone%2C%20Milano	Arena Civica - via Repubblica Cisalpina	ingresso est al Parco Sempione	https://www.google.com/maps/search/?api=1&query=via%20Repubblica%20Cisalpina%20Milano
9	Porta Garibaldi - Porta Nuova	corso Como	strada pedonalizzata con un fortissimo passaggio pedonale, con molti bar, negozi e ristoranti	https://www.google.com/maps/search/?api=1&query=corso%20Como%2C%20Milano	Piazza Gae Aulenti	piazza pedonale molto frequentata con fontana, molti negozi, parco della Biblioteca degli Alberi	https://www.google.com/maps/search/?api=1&query=Piazza%20Gae%20Aulenti%2C%20Milano
10	Stazione Centrale - Ponte Seveso	Piazza Caiazzo	fermata di tram, metro e filobus, con un ampio parcheggio su via Andrea Doria; molte attività commerciali, specie sul lato sud ed est (via Pergolesi, via Gaffurio e via Settembrini):	https://www.google.com/maps/search/?api=1&query=Piazza%20Caiazzo%2C%20Milano	Piazza Cincinnato	piazza recentemente risistemata, con panchine, alberi, esercizi commerciali e una fermata tranviaria discretamente usata (ci sono due linee che fermano); circondata da edifici densi, tipico del tessuto urbano tradizionale di fine ‘800	https://www.google.com/maps/search/?api=1&query=Piazza%20Cincinnato%2C%20Milano
11	Isola	parcheggio Carrefour/Brico/McDonald's via Farini	largo parcheggio di fronte a diversi grandi negozi, fermate tranviarie e filoviarie sulla circonvallazione	https://www.google.com/maps/search/?api=1&query=McDonald%27s%20via%20Farini%2C%20Milano	Piazzale Lagosta	mercato esterno del sabato, capolinea tranviario di alcune linee con alcuni esercizi commerciali, il mercato comunale coperto “Isola” ed annesso bar con sedute esterne; molte auto in divieto di sosta regolarmente	https://www.google.com/maps/search/?api=1&query=Piazzale%20Lagosta%20Milano
12	Maciachini-Maggiolina	Piazzale Maciachini	vicino ad una delle principali fermate del tram 4, essendo all’intersezione con la M3 (alcune corse hanno capolinea proprio qui); il parcheggio auto ha un discreto utilizzo, perlopiù a lungo termine (giornaliero più che orario); l’adiacente parco pubblico Murat ha un buon utilizzo; auto in divieto di sosta permanente sul parterre di viale Marche, all’uscita dal parcheggio	https://www.google.com/maps/search/?api=1&query=Piazzale%20Maciachini%2C%20Milano	Piazzale Istria	rotonda con un ampio parterre centrale, che ospita un’edicola, un chiosco/bar sul lato della carreggiata diretta verso il centro (lato ovest), oltre che le fermate “Istria M5” dei tram 5 e 7, la stazione della metropolitana omonima e qualche panchina; presente qualche piccolo negozio sul marciapiede al lato est del piazzale e su entrambi i lati di Viale Zara	https://www.google.com/maps/search/?api=1&query=Piazzale%20Istria%2C%20Milano
13	Greco – Segnano	Inizio ciclabile Martesana	inizio del lungo percorso ciclopedonale che porta fino all’Adda, frequentato sia da jogger che da famiglie; presente un parco con alberi e panchine, oltre che un bar con diverse sedute all’esterno, il campo di bocce “Zuretti” e un largo spiazzo alberato con numerose panchine sul lato della chiesa “Santa Maria Goretti”, vicino al quale si trova anche un piccolo parcheggio	https://maps.app.goo.gl/hRZZ15UouxHr8hEB7	Unes-Piscina de Marchi	grande centro commerciale su via De Marchi, con diverse attività commerciali, un grande parcheggio auto e qualche piccolo stallo bici; la piscina si trova sul lato opposto della stessa via, dove c’è anche una fermata bus (linee 43 e 81, direzione centro con un utilizzo non trascurabile	https://maps.app.goo.gl/kvV64JmWTaE6kBQP9
14	Niguarda - Ca’ Granda - Prato Centenaro - Q.re Fulvio Testi	Ospedale Niguarda - ingresso principale	uno degli ospedali principali della città; presenti diversi parcheggi per i fruitori dell’ospedale, la fermata del tram 4, il capolinea del 5 e una postazione BikeMi	https://maps.app.goo.gl/Kyb1Dn93jjxvdTaB7	Caffetteria Sun Strac Parco Nord	bar “Caffetteria Sun Strac”, molto frequentato, sempre pieno di persone nei weekend durante il giorno, sia famiglie e anziani che sportivi; luogo raggiungibile dai fruitori a piedi, in bici, in auto (grazie al parcheggio adiacente in tram, con la linea 4, che qui fa capolinea insieme a diverse linee di autobus (bus e tram fermano in via Luigi Ornato, sulla carreggiata diretta verso il centro), oltre che accanto al parcheggio	https://www.google.com/maps/search/?api=1&query=Caffetteria%20Sun%20Strac%20Parco Nord
15	Bicocca	Hangar Bicocca	ben frequentato nei weekend, grazie alla galleria di installazioni (ingresso gratuito), un locale brunch e una caffetteria; pubblico di livello culturale medio alto, diverse famiglie	https://www.google.com/maps/search/?api=1&query=Hangar%20Bicocca%2C%20Milano	Bicocca Village	cinema multisala, negozi, palestra Virgin. Raggiungo prevalentemente in automobile, può essere interessante per questo. Preferibile intervistare all'angolo con via Hayek, se più vicino all'ingresso può dare fastidio alla proprietà	https://www.google.com/maps/search/?api=1&query=Bicocca%20Village%2C%20Milano
